FIPS,Week,Confirmed,Deaths,Incident_Rate,New_Cases,Risk_Category,scaled_new_cases,scaled_incidence
4,12,5863962,117814,11509.018102267984,24235.0,High,-0.17633410726887205,0.15823154139321952
4,13,5892431,118701,11564.893334125463,28469.0,High,-0.1694467833721984,0.1730848825976193
4,14,5925045,119208,11628.903830166772,32614.0,High,-0.16270423317103816,0.19010082520327262
4,15,5959253,119813,11696.042821047407,34208.0,High,-0.16011132001768488,0.20794841717770648
4,16,5991047,120417,11758.443928275508,31794.0,High,-0.16403810317464526,0.2245365351394445
4,17,6026886,121061,11828.784032758993,35839.0,High,-0.15745822004709567,0.24323508076537165
4,18,6062256,121568,11898.203645348094,35370.0,High,-0.15822112862232948,0.26168893156447404
4,19,6094767,122020,11962.011986453106,32511.0,High,-0.1628717802568571,0.2786511352209518
4,20,6122466,122489,12016.375962961602,27699.0,High,-0.17069931983900016,0.2931027386499687
4,21,6149411,123086,12069.260086829669,26945.0,High,-0.17192582957402425,0.3071609521015341
4,22,6174781,123556,12119.053006574804,25370.0,High,-0.17448783598339151,0.32039742919435893
4,23,6195317,124071,12159.35838299917,20536.0,High,-0.18235116232172893,0.3311118278375698
4,24,6215852,124575,12199.661796754252,20535.0,High,-0.18235278899246501,0.3418257047434105
4,25,6237990,125104,12243.111369372218,22138.0,High,-0.17974523580248677,0.35337592665436657
4,26,6263426,125567,12293.033825290127,25436.0,High,-0.17438047571480852,0.36664683841365375
4,27,6289536,126003,12344.27912030572,26110.0,High,-0.17328409963867294,0.38026940116074415
4,28,6325854,126482,12415.55934337643,36318.0,High,-0.15667904476450079,0.3992178589872017
4,29,6381890,126929,12525.53947939687,56036.0,High,-0.12460435118995863,0.4284539342876972
4,30,6452914,127380,12664.936102651844,71024.0,High,-0.10022381019719882,0.46550980929916097
4,31,6552049,128092,12859.505322160489,99135.0,High,-0.054496469134517285,0.5172322435363415
4,32,6675092,128891,13100.998038920476,123043.0,High,-0.015606025175690128,0.5814283748304875
4,33,6815598,129565,13376.764849393889,140506.0,High,0.012800525888932535,0.6547356058279084
4,34,6963213,130640,13666.484275810068,147615.0,High,0.02436452815191155,0.7317518677931194
4,35,7118968,132048,13972.179830201236,155755.0,High,0.03760562794381606,0.8130150719552408
4,36,7262847,133600,14254.566724170914,143879.0,High,0.018287286281818766,0.888082123103788
4,37,7393608,135237,14511.20732246788,130761.0,High,-0.0030513804344224358,0.9563050234244408
4,38,7515786,137538,14751.002330296868,122178.0,High,-0.017013095362421998,1.0200498518929946
4,39,7639962,139660,14994.718751356082,124176.0,High,-0.013763007231681798,1.0848371116280635
4,40,7764415,141686,15238.978831807071,124453.0,High,-0.013312419437780379,1.1497688926147955
4,41,7874626,143108,15455.28657630969,110211.0,High,-0.036479464061404954,1.2072700899690485
4,42,7976873,144837,15655.963622631374,102247.0,High,-0.049434269803754774,1.2606161709036217
4,43,8095772,147012,15889.323037876826,118899.0,High,-0.022346948706114242,1.3226502225338872
4,44,8235949,148784,16164.444130155667,140177.0,High,0.012265351216753593,1.39578580193637
4,45,8396964,150632,16480.463324982764,161015.0,High,0.0461619160157347,1.4797933446679943
4,46,8575408,152427,16830.689882767605,178444.0,High,0.07451316027532975,1.5728942480322887
4,47,8764527,154616,17201.867935163376,189119.0,High,0.09187787038326349,1.6715646978280336
4,48,8921760,156457,17510.464314756882,157233.0,High,0.04000984729178103,1.7535990298239426
4,49,9114220,159540,17888.199645231824,192460.0,High,0.09731257731259432,1.8540126041749552
4,50,9271077,162990,18196.0580611744,156857.0,High,0.0393982190950051,1.9358507629195094
4,51,9414674,166333,18477.891482405877,143597.0,High,0.017828565134236817,2.010770684129539
4,52,8194675,144490,18764.009737796736,0.0,High,-0.21575647255840597,2.0868296449758765
5,1,1696259,27188,8029.769802336874,1696259.0,Low,2.54349840359837,-0.7666587975949227
5,2,1835317,29215,8688.04411609047,139058.0,Low,0.01044510666305075,-0.5916694031309504
5,3,1936722,31089,9168.076237839548,101405.0,Low,-0.0508039265635562,-0.4640622209075681
5,4,2022725,33141,9575.1981999399,86003.0,Low,-0.07585790924106398,-0.3558367833772927
5,5,2103882,34807,9959.38011310779,81157.0,Low,-0.08374075562823464,-0.25370951068163616
5,6,2168110,36167,10263.42333696953,64228.0,High,-0.1112786645197766,-0.1728855463816177
5,7,2198481,37147,10407.193916030144,30371.0,High,-0.1663528556321244,-0.13466694048145078
5,8,2221217,37705,10514.821846803648,22736.0,High,-0.17877248670229526,-0.10605615309393682
5,9,2263961,36861,10717.163871477404,42744.0,High,-0.1462260586142823,-0.05226747012015715
5,10,2280204,37703,10794.05516632056,16243.0,High,-0.18933445979183286,-0.03182741824052187
